,O,H,L,C,V,date
256,10213.1,10236.96,9272.27,9517.5,13843.595242,2020-06-02 02:00:00
257,9516.52,9693.0,9369.0,9664.73,4929.997933,2020-06-03 02:00:00
258,9664.92,9884.99,9454.41,9791.63,6683.747122,2020-06-04 02:00:00
259,9790.55,9846.73,9594.43,9616.57,5424.757382,2020-06-05 02:00:00
260,9616.1,9730.68,9529.46,9666.23,3313.023993,2020-06-06 02:00:00
261,9666.22,9820.0,9373.36,9751.76,5018.567681,2020-06-07 02:00:00
262,9751.75,9807.74,9632.55,9785.52,3315.270256,2020-06-08 02:00:00
263,9785.5,9878.98,9561.22,9779.74,4242.092416,2020-06-09 02:00:00
264,9778.07,9999.0,9688.0,9890.27,3515.994791,2020-06-10 02:00:00
265,9890.49,9970.0,9047.7,9267.6,8829.74973,2020-06-11 02:00:00
266,9267.49,9550.0,9227.84,9463.6,3207.373179,2020-06-12 02:00:00
267,9463.53,9495.42,9350.0,9473.83,2535.267127,2020-06-13 02:00:00
268,9473.77,9481.81,9238.78,9334.3,2288.06608,2020-06-14 02:00:00
269,9334.05,9497.36,8895.52,9427.1,6560.396257,2020-06-15 02:00:00
270,9427.1,9588.0,9378.53,9525.19,3524.025535,2020-06-16 02:00:00
271,9525.37,9558.85,9226.25,9454.02,3962.306086,2020-06-17 02:00:00
272,9454.57,9473.67,9267.09,9373.45,2901.995144,2020-06-18 02:00:00
273,9374.46,9423.4,9227.95,9294.5,5177.648396,2020-06-19 02:00:00
274,9294.67,9388.68,9153.44,9352.93,3230.775138,2020-06-20 02:00:00
275,9353.59,9415.0,9270.12,9280.84,2882.470222,2020-06-21 02:00:00
276,9280.71,9782.54,9263.87,9685.58,3687.764432,2020-06-22 02:00:00
277,9685.61,9718.67,9573.57,9621.22,3467.010352,2020-06-23 02:00:00
278,9621.22,9663.41,9192.02,9283.97,5597.738294,2020-06-24 02:00:00
279,9284.46,9333.66,8989.0,9242.26,4392.588166,2020-06-25 02:00:00
280,9242.22,9289.62,9029.8,9152.93,4966.969113,2020-06-26 02:00:00
281,9153.18,9184.17,8822.0,9001.85,3772.050653,2020-06-27 02:00:00
282,9001.85,9187.28,8939.13,9111.79,2397.470886,2020-06-28 02:00:00
