,2K-mean,KNN,2KNN,Actual_price,Error
289,9299.605,9343.16,9256.05,9439.67,140.0650000000005
290,9347.86,9256.05,9439.67,9231.53,-116.32999999999993
291,9335.6,9439.67,9231.53,9286.71,-48.89000000000124
292,9259.119999999999,9231.53,9286.71,9231.22,-27.899999999999636
293,9258.965,9286.71,9231.22,9301.96,42.99499999999898
294,9266.59,9231.22,9301.96,9235.92,-30.670000000000073
295,9268.939999999999,9301.96,9235.92,9253.41,-15.529999999998836
296,9244.665,9235.92,9253.41,9187.9,-56.76500000000124
297,9220.654999999999,9253.41,9187.9,9127.31,-93.34499999999935
298,9157.605,9187.9,9127.31,9151.61,-5.994999999998981
299,9139.46,9127.31,9151.61,9172.42,32.960000000000946
300,9162.015,9151.61,9172.42,9211.93,49.91500000000087
301,9192.175,9172.42,9211.93,9162.54,-29.6349999999984
302,9187.235,9211.93,9162.54,9396.79,209.5550000000003
303,9279.665,9162.54,9396.79,9532.6,252.9349999999995
304,9464.695,9396.79,9532.6,9613.95,149.25500000000102
305,9573.275000000001,9532.6,9613.95,9550.42,-22.855000000001382
306,9582.185000000001,9613.95,9550.42,9710.08,127.89499999999862
307,9630.25,9550.42,9710.08,9939.36,309.1100000000006
308,9824.720000000001,9710.08,9939.36,11050.92,1226.199999999999
309,10495.14,9939.36,11050.92,10925.77,430.630000000001
310,10988.345000000001,11050.92,10925.77,11111.67,123.32499999999891
311,11018.720000000001,10925.77,11111.67,11109.09,90.36999999999898
312,11110.380000000001,11111.67,11109.09,11352.64,242.2599999999984
313,11230.865,11109.09,11352.64,11815.45,584.585000000001
314,11584.045,11352.64,11815.45,11071.15,-512.8950000000004
315,11443.3,11815.45,11071.15,11229.96,-213.34000000000015
316,11150.555,11071.15,11229.96,11197.44,46.88500000000022
317,11213.7,11229.96,11197.44,11756.82,543.119999999999
318,11477.130000000001,11197.44,11756.82,11771.4,294.2699999999986
319,11764.11,11756.82,11771.4,11605.37,-158.73999999999978
320,11688.385,11771.4,11605.37,11769.85,81.46500000000015
321,11687.61,11605.37,11769.85,11688.44,0.8299999999999272
322,11729.145,11769.85,11688.44,11901.25,172.10499999999956
323,11794.845000000001,11688.44,11901.25,11385.73,-409.1150000000016
324,11643.49,11901.25,11385.73,11567.18,-76.30999999999949
325,11476.455,11385.73,11567.18,11794.79,318.33500000000095
326,11680.985,11567.18,11794.79,11773.55,92.56499999999869
327,11784.17,11794.79,11773.55,11859.31,75.13999999999942
328,11816.43,11773.55,11859.31,11915.38,98.94999999999891
329,11887.345,11859.31,11915.38,12295.87,408.52500000000146
330,12105.625,11915.38,12295.87,11954.07,-151.5550000000003
331,12124.970000000001,12295.87,11954.07,11757.13,-367.84000000000196
332,11855.599999999999,11954.07,11757.13,11861.39,5.790000000000873
333,11809.259999999998,11757.13,11861.39,11528.88,-280.3799999999992
334,11695.134999999998,11861.39,11528.88,11669.87,-25.2649999999976
335,11599.375,11528.88,11669.87,11651.37,51.9950000000008
336,11660.62,11669.87,11651.37,11749.98,89.35999999999876
337,11700.675,11651.37,11749.98,11322.05,-378.625
338,11536.015,11749.98,11322.05,11467.49,-68.52499999999964
339,11394.77,11322.05,11467.49,11328.5,-66.27000000000044
340,11397.994999999999,11467.49,11328.5,11532.37,134.37500000000182
341,11430.435000000001,11328.5,11532.37,11469.17,38.73499999999876
342,11500.77,11532.37,11469.17,11711.1,210.32999999999993
343,11590.135,11469.17,11711.1,11653.66,63.524999999999636
344,11682.380000000001,11711.1,11653.66,11923.74,241.35999999999876
345,11788.7,11653.66,11923.74,11395.71,-392.9900000000016
346,11659.724999999999,11923.74,11395.71,10146.86,-1512.864999999998
347,10771.285,11395.71,10146.86,10454.94,-316.34499999999935
